time,x,y,download_speed,download_units,upload_speed,upload_units,latency,latency_units,loss,loss_units
2023-09-29 16:07:42.916220,37.42793,122.16355,6.06,Mb/s,7.20,Mb/s,13,ms,0.00,%
2023-09-28 15:09:24.214930,37.42512,122.17022,218.65,Mb/s,201.34,Mb/s,5,ms,0.82,%
2023-10-10 10:37:53.334280,37.42817,122.17411,124.71,Mb/s,129.80,Mb/s,3,ms,0.16,%
2023-09-28 15:09:24.204134,37.43008,122.17383,0.60,Mb/s,2.77,Mb/s,12,ms,2.41,%
2023-10-11 12:50:40.013109,37.42520,122.17057,150.01,Mb/s,124.53,Mb/s,5,ms,0.79,%
2023-09-28 15:09:24.202324,37.42585,122.17360,58.33,Mb/s,73.43,Mb/s,4,ms,1.84,%
2023-09-28 15:09:24.216753,37.42426,122.17119,154.42,Mb/s,133.39,Mb/s,7,ms,0.00,%
2023-10-10 10:33:42.789218,37.42839,122.17255,17.75,Mb/s,43.40,Mb/s,5,ms,0.00,%
2023-10-10 10:46:33.431656,37.42794,122.17417,28.09,Mb/s,86.97,Mb/s,6,ms,0.00,%
2023-10-01 19:05:02.867268,37.42564,122.17075,293.15,Mb/s,305.63,Mb/s,4,ms,0.00,%
2023-09-28 15:09:24.218636,37.42424,122.17106,206.60,Mb/s,162.58,Mb/s,6,ms,0.89,%
2023-09-28 15:09:24.209372,37.42470,122.16697,24.14,Mb/s,29.43,Mb/s,5,ms,0.78,%
2023-09-29 16:44:31.046411,37.42275,122.17180,26.43,Mb/s,35.04,Mb/s,4,ms,0.00,%
2023-09-28 21:18:55.713348,37.42565,122.17075,158.04,Mb/s,187.59,Mb/s,5,ms,0.00,%
2023-09-28 15:09:24.222418,37.42595,122.16717,78.77,Mb/s,154.43,Mb/s,4,ms,0.00,%
2023-10-10 10:29:18.856153,37.42898,122.17201,19.73,Mb/s,26.55,Mb/s,4,ms,0.00,%
2023-10-11 16:21:28.970773,37.42908,122.16739,194.39,Mb/s,194.14,Mb/s,4,ms,0.52,%
2023-09-29 16:36:16.587024,37.42289,122.16538,48.28,Mb/s,63.72,Mb/s,5,ms,0.00,%
2023-09-28 16:43:24.439546,37.42925,122.17341,142.86,Mb/s,216.69,Mb/s,5,ms,0.24,%
2023-09-28 15:09:24.221426,37.42502,122.16925,25.62,Mb/s,22.14,Mb/s,7,ms,0.54,%
2023-09-28 15:09:24.206869,37.42504,122.16920,126.52,Mb/s,101.36,Mb/s,7,ms,0.40,%
2023-10-09 16:47:56.711139,37.42952,122.16690,84.63,Mb/s,85.85,Mb/s,5,ms,0.00,%
2023-10-02 20:28:41.224530,37.42717,122.16753,359.68,Mb/s,250.55,Mb/s,3,ms,3.10,%
2023-10-09 16:35:40.021221,37.43072,122.17157,224.06,Mb/s,197.27,Mb/s,4,ms,0.89,%
2023-09-29 15:55:15.853755,37.42812,122.16942,43.88,Mb/s,71.04,Mb/s,4,ms,0.40,%
2023-10-09 16:37:22.821848,37.43058,122.17152,145.52,Mb/s,129.79,Mb/s,4,ms,0.06,%
2023-09-28 16:26:15.059129,37.42962,122.17319,52.37,Mb/s,100.47,Mb/s,6,ms,1.02,%
2023-09-28 15:09:24.212833,37.42825,122.17423,168.79,Mb/s,193.51,Mb/s,4,ms,0.24,%
2023-09-28 15:09:24.215855,37.42854,122.17121,186.39,Mb/s,204.79,Mb/s,4,ms,0.00,%
2023-10-10 10:12:35.473478,37.42855,122.17136,274.84,Mb/s,275.02,Mb/s,4,ms,0.04,%
2023-10-11 18:01:55.008840,37.42423,122.17115,69.11,Mb/s,77.01,Mb/s,8,ms,0.00,%
2023-09-28 15:09:24.219553,37.42861,122.17123,122.11,Mb/s,263.38,Mb/s,4,ms,0.77,%
2023-10-12 20:02:08.027223,37.42099,122.17382,69.41,Mb/s,82.65,Mb/s,5,ms,0.00,%
2023-09-29 15:36:17.097875,37.42707,122.17172,54.89,Mb/s,50.10,Mb/s,5,ms,0.00,%
2023-09-28 15:09:24.201358,37.42382,122.16791,63.59,Mb/s,62.32,Mb/s,4,ms,1.84,%
2023-09-29 16:01:14.207053,37.42846,122.16751,6.19,Mb/s,15.35,Mb/s,5,ms,4.51,%
2023-09-28 15:09:24.200406,37.42236,122.16900,38.99,Mb/s,22.08,Mb/s,5,ms,1.01,%
2023-09-29 16:23:28.523657,37.42222,122.16370,64.24,Mb/s,59.02,Mb/s,4,ms,0.01,%
2023-09-28 15:09:24.211420,37.42605,122.16693,17.84,Mb/s,150.55,Mb/s,4,ms,0.04,%
2023-10-11 09:13:04.854170,37.42469,122.17640,57.59,Mb/s,67.90,Mb/s,4,ms,0.00,%
2023-09-28 15:09:24.203238,37.42096,122.17381,128.34,Mb/s,293.48,Mb/s,5,ms,0.00,%
2023-09-29 16:11:04.760400,37.42795,122.16203,65.43,Mb/s,81.93,Mb/s,4,ms,0.66,%
2023-09-29 16:30:50.615820,37.42220,122.16362,65.53,Mb/s,95.80,Mb/s,5,ms,0.49,%
2023-10-11 20:41:57.787073,37.42559,122.17069,246.39,Mb/s,247.18,Mb/s,5,ms,0.00,%
2023-09-28 15:09:24.198002,37.42390,122.16731,9.06,Mb/s,7.65,Mb/s,6,ms,2.64,%
2023-10-10 14:23:25.752065,37.42098,122.17381,74.90,Mb/s,83.33,Mb/s,14,ms,0.00,%
2023-09-28 15:09:24.224553,37.42492,122.16781,56.06,Mb/s,64.79,Mb/s,4,ms,4.43,%
2023-10-10 10:30:29.277335,37.42902,122.17193,31.89,Mb/s,38.82,Mb/s,4,ms,0.00,%
2023-10-11 14:20:37.454103,37.42736,122.17206,39.46,Mb/s,60.36,Mb/s,5,ms,0.00,%
2023-09-29 16:43:46.284405,37.42240,122.16708,11.87,Mb/s,7.23,Mb/s,5,ms,3.35,%
2023-09-28 15:09:24.199386,37.42974,122.17317,13.41,Mb/s,35.94,Mb/s,4,ms,3.61,%
2023-09-28 15:09:24.213972,37.42466,122.17646,242.39,Mb/s,210.59,Mb/s,4,ms,0.00,%
2023-09-28 15:09:24.210387,37.42372,122.17306,7.59,Mb/s,16.50,Mb/s,7,ms,0.77,%
2023-10-10 11:03:05.254532,37.42114,122.17372,91.61,Mb/s,91.43,Mb/s,5,ms,0.00,%
2023-09-28 15:09:24.220453,37.42765,122.17121,24.69,Mb/s,22.46,Mb/s,4,ms,0.00,%
2023-09-29 16:06:20.649651,37.42796,122.16366,6.27,Mb/s,6.27,Mb/s,5,ms,0.00,%
2023-09-28 15:09:24.208205,37.42449,122.17042,100.47,Mb/s,160.09,Mb/s,5,ms,0.00,%
2023-09-28 15:09:24.205053,37.42095,122.17379,230.76,Mb/s,156.58,Mb/s,4,ms,0.00,%
2023-09-28 15:09:24.217673,37.42444,122.17052,290.19,Mb/s,332.55,Mb/s,4,ms,0.01,%
2023-09-29 16:09:19.595798,37.42815,122.16290,108.39,Mb/s,100.92,Mb/s,4,ms,0.34,%
2023-09-29 15:58:25.315427,37.42786,122.16839,64.51,Mb/s,80.23,Mb/s,5,ms,1.07,%
2023-10-11 11:16:44.753314,37.42477,122.16705,55.27,Mb/s,46.13,Mb/s,7,ms,0.69,%
2023-10-10 18:41:00.130572,37.42946,122.16708,130.74,Mb/s,120.01,Mb/s,4,ms,0.00,%
2023-09-28 15:09:24.223442,37.42147,122.16859,117.90,Mb/s,124.54,Mb/s,6,ms,0.00,%
2023-09-28 15:09:24.205964,37.42908,122.16756,107.65,Mb/s,238.82,Mb/s,4,ms,0.00,%
